leaf_cold_SM_B_1	54058	626	493	4998	320	741	9084	70320
leaf_cold_SM_B_4	78978	1141	666	6706	479	1224	12591	101785
leaf_control_SM_B_1	67054	655	570	5665	379	1038	12122	87483
leaf_control_SM_B_4	57431	769	703	4968	310	974	11161	76316
leaf_heat_SM_B_1	37456	577	534	4148	553	661	9563	53492
leaf_cold_SM_B_2	133481	1831	1192	12634	1027	2200	22877	175242
leaf_cold_SM_B_3	171767	1979	1356	17546	995	2605	27121	223369
leaf_salt_SM_B_2	49533	518	301	3521	206	681	6697	61457
leaf_salt_SM_B_1	60103	758	632	4605	630	980	13675	81383
leaf_control_SM_B_2	107386	1179	838	10464	551	1755	17215	139388
anther_R1_DS_B_2	9695318	183478	75245	779695	87614	104967	950272	11876589
anther_R1_DS_B_1	10323061	176808	76362	800287	80085	108902	999510	12565015
leaf_uv_SM_B_2	53337	558	337	4613	266	811	7831	67753
leaf_uv_SM_B_1	24265	838	2228	2235	990	1399	18192	50147
leaf_control_SM_B_3	125780	1406	1202	13729	849	2045	23267	168278
leaf_base.stage2.V5_DS_B_2	9954774	92937	37369	541043	39331	94945	740861	11501260
anther_R1_DS_B_3	20863840	380778	160149	1637398	172540	224272	1964757	25403734
leaf_11.V9_DS_B_3	2385485	19657	9480	125182	11240	20665	223039	2794748
coleoptile_6das_DS_B_2	3238840	28182	11320	150982	10088	27160	244899	3711471
coleoptile_6das_DS_B_3	2795832	26395	11105	132976	13536	25553	261890	3267287
leaf_8.V9_DS_B_3	3935009	34411	16851	209263	24251	45090	396861	4661736
stem_shoot.apex_GL_M0077_1	18637171	228152	87892	966852	8567	26979	367414	20323027
leaf_base.stage2.V5_DS_B_1	24320137	213790	90857	1272875	84509	218155	1676449	27876772
leaf_8.V9_DS_B_2	5355262	53126	24245	300506	50095	83208	706703	6573145
leaf_11.V9_DS_B_1	6759721	53881	26597	379348	22027	52086	488006	7781666
leaf_11.V9_DS_B_2	6076977	50670	24284	326542	27465	49068	561807	7116813
embryo_16dap_DS_B_2	7260347	58539	21266	463979	16074	47053	489974	8357232
leaf_heat_SM_B_4	140528	1490	1043	18212	1118	2077	20833	185301
leaf_base.stage2.V7_DS_B_1	17869002	166549	72842	966129	64699	172330	1368067	20679618
embryo_16dap_DS_B_1	9933924	77581	27768	623952	23499	68321	666793	11421838
leaf_heat_SM_B_3	131244	1474	1219	17778	1013	1865	21249	175842
endosperm_16dap_DS_B_1	7873981	167785	101981	474828	37573	74538	740581	9471267
embryo_22dap_DS_B_1	9254549	106844	48941	496793	29518	87851	696984	10721480
leaf_base.stage2.V7_DS_B_3	11730340	114999	50758	628580	37835	116415	828374	13507301
leaf_base.stage2.V5_DS_B_3	20047963	187415	72688	1108614	84841	196434	1592260	23290215
embryo_16dap_DS_B_3	10312956	83623	33563	660495	52079	68326	1001437	12212479
endosperm_16dap_DS_B_2	7773104	164572	110172	498520	46749	69902	835422	9498441
leaf_8.V9_DS_B_1	15180462	117953	61170	811796	43972	111512	1204029	17530894
endosperm_14dap_DS_B_2	10232615	100064	43630	419726	33342	75881	712212	11617470
endosperm_14dap_DS_B_3	10070551	139213	85621	453154	35899	77847	753363	11615648
embryo_20dap_DS_B_2	12093341	132464	60907	603855	38843	111724	967948	14009082
embryo_20dap_DS_B_1	12883659	139351	61510	680565	43058	112183	1036671	14956997
leaf_base.stage2.V7_DS_B_2	17173329	165722	74084	882956	55119	166852	1201907	19719969
embryo_18dap_DS_B_3	11297126	109463	42513	611168	76764	92575	1423801	13653410
endosperm_14dap_DS_B_1	12037874	153672	89421	517094	44999	112309	953179	13908548
coleoptile_6das_DS_B_1	14209408	133087	55054	671369	62384	122969	1242822	16497093
endosperm_16dap_DS_B_3	12145679	153604	94272	658569	45484	87776	943699	14129083
leaf_immature.V9_DS_B_3	8433795	79127	31386	565086	30295	75401	544812	9759902
endosperm_18dap_DS_B_3	9684213	430942	279719	615199	47426	134400	1099279	12291178
leaf_0dap_DS_B_1	6098716	65053	31843	335286	26432	58048	400863	7016241
embryo_22dap_DS_B_2	15699359	189114	85539	846090	51379	146885	1213590	18231956
endosperm_24dap_DS_B_3	8716689	817908	423638	686878	53577	184163	1294655	12177508
endosperm_12dap_DS_B_3	13267334	122197	38333	547812	43376	99245	947047	15065344
leaf_immature.V9_DS_B_1	8968472	81185	31971	595721	34700	76321	603389	10391759
embryo_18dap_DS_B_1	16264752	137364	56288	925903	60280	126399	1384001	18954987
leaf_0dap_DS_B_1	8115066	92754	45917	458018	39362	82921	554182	9388220
leaf_immature.V9_DS_B_2	11897049	104020	41034	802277	43155	98141	778723	13764399
endosperm_22dap_DS_B_1	10889051	916537	525239	931682	67834	220178	1553695	15104216
endosperm_24dap_DS_B_2	11416782	1119518	627230	990903	72032	249170	1777309	16252944
leaf_12dap_DS_B_2	8392679	96010	49185	482062	48077	100408	605036	9773457
internode_fourth.V9_DS_B_3	13335186	122987	60182	683522	37058	130781	947084	15316800
internode_first.V5_DS_B_1	12569140	127834	68259	699332	45860	125964	1028903	14665292
endosperm_22dap_DS_B_2	10242022	936275	509203	854353	73247	224593	1567911	14407604
internode_fourth.V9_DS_B_1	14993823	135027	63990	769484	45897	144727	1132231	17285179
embryo_24dap_DS_B_2	18274733	225489	102468	1057448	58986	166594	1357859	21243577
leaf_24dap_DS_B_2	8712201	85471	43861	456618	31002	71825	470444	9871422
endosperm_24dap_DS_B_1	10937611	995568	571189	960511	77222	222977	1707235	15472313
leaf_18dap_DS_B_1	10609377	118446	64987	633773	70054	131620	833341	12461598
embryo_22dap_DS_B_3	20939330	227033	105572	1092247	52274	196416	1421978	24034850
leaf_18dap_DS_B_2	10327749	110577	62362	599724	52817	107792	728452	11989473
internode_first.V5_DS_B_2	14159407	152231	77612	805474	95620	142178	1757583	17190105
tassel_meiotic.V18_DS_B_2	9099531	116733	54842	567161	34238	95112	640998	10608615
cob_immature.V18_DS_B_1	13055536	168258	84280	682020	76753	153081	1439260	15659188
embryo_24dap_DS_B_3	21633277	253962	101617	1266927	70506	191275	1646267	25163831
stem_shoot.apex_GL_M0080_1	25452465	263866	104909	1355952	11538	38350	503910	27730990
internode_first.V5_DS_B_3	16120910	166297	90447	935669	67735	158349	1377803	18917210
endosperm_22dap_DS_B_3	13813839	1423721	794455	1204353	96566	330994	2268737	19932665
internode_fourth.V9_DS_B_2	15125420	142212	67832	762042	44932	149220	1119057	17410715
